id,FOLIO,id,TIPO DE EVENTO,HOMOLOGACIÓN_TIPO DE EVENTO,TIPO DE EVENTO 2,FECHA EVENTO,HORA RECEPCION,HORA DESPACHO,HORA ARRIBO,ZONA,SECTOR,CUADRANTE,ALCALDÍA,LATITUD Y,LONGITUD X,CARPETA DE INVESTIGACION,ORIGEN,MOVIL,CAUSA,FALLECIDOS,LESIONADOS,DETENIDOS,ARMA DE FUEGO INVOLUCRADA,CALIBRE ARMA DE FUEGO,ARMA DE BLANCA INVOLUCRADA,LUGAR LOCALIZACION CADAVER,AUTOMOVIL INVOLUCRADO,MOTOCICLETA INVOLUDRADA,DROGAS INVOLUDRADAS,OBSERVACIONES
1,C5/20220825/03957,1,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,25/08/2022,20:55:55,20:56:03,20:59:42,ZONA NORTE,ARAGÓN,N-1.1.5,GUSTAVO A. MADERO,19.4484706,-99.0573264,CI-FIEDH/2/UI-1C/D/00276/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,.40MM,NO,VIA PUBLICA,NO,SI,NO,
2,C5/20220824/04359,2,HOMICIDIO DOLOSO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,24/08/2022,23:45:39,23:47:16,23:50:31,ZONA NORTE,ARAGÓN,N-1.1.7,GUSTAVO A. MADERO,19.450562,-99.068424,CI-FIEDH/2/UI-1C/D/00275/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,.380MM,NO,VIA PUBLICA,NO,SI,NO,
3,C5/20220826/04661,3,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,26/08/2022,22:17:06,22:17:13,22:17:13,ZONA CENTRO,TLATELOLCO,C-1.4.2,CUAUHTÉMOC,19.454706,-99.156664,CI-FIEDH/2/UI-1C/D/00279/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,1,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
4,C5/20220826/00807,4,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,26/08/2022,06:05:06,06:05:06,06:06:26,ZONA ORIENTE,SANTA CRUZ,O-1.7.14,IZTAPALAPA,19.37429959,-99.05278675,CI-FIEDH/2/UI-1C/D/00277/08-2022,RADIO,AGRESION DIRECTA,ARMA BLANCA,1,,1,NO,NA,SI,VIA PUBLICA,NO,NO,NO,
5,C5/20220827/05814,5,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,27/08/2022,22:47:32,22:48:05,22:51:49,ZONA ORIENTE,TEPEPAN,O-4.2.9,XOCHIMILCO,19.2491376,-99.0236113,CI-FIEDH-2 UI-1C/D/00282/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,3,,1,SI,.9MM,NO,VIA PUBLICA,SI,NO,SI,
6,C5/20220827/05241,6,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,27/08/2022,21:23:26,21:24:09,21:26:19,ZONA ORIENTE,CHURUBUSCO,O-1.2.9,IZTAPALAPA,19.37256,-99.12563,NO ESPECIFICADO,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,NO ESPECIFICADO,NO,VIA PUBLICA,NO,NO,NO,
7,C5/20220827/02754,7,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,27/08/2022,13:02:23,13:02:34,13:06:42,ZONA SUR,TOPILEJO,5-4.5.7,TLALPAN,19.1937,-99.1372,CI-FIEDH/2/UI-1C/D/00280/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,GOLPES,1,,,NO,NA,NO,ZONA BOSCOSA/PARAJE,NO,NO,NO,
8,C5/20220827/05814,8,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,27/08/2022,22:47:32,22:48:11,22:51:49,ZONA ORIENTE,TEPEPAN,O-4.2.9,XOCHIMILCO,19.2491376,-99.0236113,CI-FIEDH-2 UI-1C/D/00282/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,.9MM,NO,NO ESPECIFICADO,NO,SI,NO,
9,C5/20220829/00465,9,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,29/08/2022,01:48:08,01:49:00,01:50:57,ZONA NORTE,CONSULADO,N-3.3.2,VENUSTIANO CARRANZA,19.448399,-99.122463,CI-FIEDH/2/UI-1C/D/00284/08-2022,C-2 NORTE INFORMÓ ,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,.9MM,NO,VIA PUBLICA,NO,NO,NO,
10,C5/20220829/00075,10,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,28/08/2022,00:13:42,00:13:58,00:17:51,ZONA PONIENTE,PLATEROS,P-1.2.3,ÁLVARO OBREGÓN,19.391003,-99.211776,CI-FIEDH/2/UI-1C/D/00283/08-2022,C-2 PONIENTE INFORMA ,AGRESION DIRECTA,ARMA DE FUEGO,2,,,SI,".9MM , .40MM",NO,VIA PUBLICA,SI,NO,NO,
11,C5/20220828/05986,11,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,28/08/2022,21:43:10,21:43:20,21:45:25,ZONA NORTE,MOCTEZUMA,N-3.5.3,VENUSTIANO CARRANZA,19.441008,-99.089074,CI-FIGAM/UAT-GAM-2/UI-1 S/D/02560/08-2022,LLAMADA DEL 911,RIÑA,GOLPES,1,,,NO,NA,SI,NO ESPECIFICADO,NO,NO,NO,
12,C5/20220830/02774,12,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,30/08/2022,16:29:40,16:30:50,16:33:24,ZONA ORIENTE,TECOMITL,O-2.2.4,MILPA ALTA,19.1614886,-98.9903797,CI-FIMA-MIL-I/UI -3C/D/00156/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,GOLPES,1,,,NO,NA,NO,ZONA BOSCOSA/PARAJE,NO,NO,NO,
13,C5/20220830/02051,13,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/08/2022,13:41:43,13:42:25,13:42:54,ZONA NORTE,CUCHILLA,N-1.3.8,GUSTAVO A. MADERO,19.458163,-99.100192,CI-FIEDH/2/UI-1C/D/00285/08-2022,RADIO,AGRESION DIRECTA,ARMA DE FUEGO,1,,1,SI,.4380MM,NO,VEHÍCULO,SI,NO,NO,
14,C5/20220828/05986,14,HOMICIDIO DOLOSO POR ARMA BLANCA,HOMICIDIO POR ARMA BLANCA,HOMICIDIO ARMA BLANCA,28/08/2022,21:43:10,21:43:20,21:45:25,ZONA NORTE,MOCTEZUMA,N-3.5.3,VENUSTIANO CARRANZA,19.441008,-99.089074,CI-FIGAM/UAT-GAM-2/UI-1 S/D/02560/08-2022,LLAMADA DEL 911,RIÑA,GOLPES,1,,,NO,NA,SI,NO ESPECIFICADO,NO,NO,NO,
15,C5/20220830/02774,15,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO DOLOSO POR GOLPES,HOMICIDIO OTROS,30/08/2022,16:29:40,16:30:50,16:33:24,ZONA ORIENTE,TECOMITL,O-2.2.4,MILPA ALTA,19.1614886,-98.9903797,CI-FIMA-MIL-I/UI -3C/D/00156/08-2022,LLAMADA DEL 911,AGRESION DIRECTA,GOLPES,1,,,NO,NA,NO,ZONA BOSCOSA/PARAJE,NO,NO,NO,
16,C5/20220830/02051,16,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO POR ARMA DE FUEGO,HOMICIDIO ARMA DE FUEGO,30/08/2022,13:41:43,13:42:25,13:42:54,ZONA NORTE,CUCHILLA,N-1.3.8,GUSTAVO A. MADERO,19.458163,-99.100192,CI-FIEDH/2/UI-1C/D/00285/08-2022,RADIO,AGRESION DIRECTA,ARMA DE FUEGO,1,,,SI,.380MM,NO,VIA PUBLICA,SI,NO,NO,
