ID_BCT_O,CALLE,ESQUINA,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN
1,BALDERAS,AV JUAREZ,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.435283,-99.147152,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
2,AV JUAREZ,REVILLAGIGEDO,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.435098,-99.14582,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
3,AV JUAREZ,JOSE MARIA MARROQUI Y LUIS MOYA,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.434573,-99.143858,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
4,AV JUAREZ,DOLORES,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.434374,-99.142704,INCIDENCIA DELICTIVA,SIN BOTON,CON ALTAVOZ,9m,1,0,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
5,AV JUAREZ,LOPEZ,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.434242,-99.14188,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
6,AV INDEPENDENCIA,JOSE AZUETA,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.433729,-99.146751,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
7,INDEPENDENCIA,DOLORES,CENTRO,#N/A,ALAMEDA,CUAUHTEMOC,CENTRO,19.433091,-99.142696,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
8,VIADUCTO RIO DE LA PIEDAD,EJE 3 OTE AZUCAR Y EJE 3 SUR,GRANJAS MEXICO,#N/A,TLACOTAL,IZTACALCO,NORTE,19.406772,-99.108526,CONTROL DE TRANSITO,N/A,N/A,20m,1,0,0,0,PTZ,CIUDAD SEGURA,,6.5K,8K
9,SOLEDAD,SANTISIMA,CENTRO,#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.432311,-99.12703,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
10,REPUBLICA DE GUATEMALA,LORETO,CENTRO,#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.434369,-99.127634,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
11,LAS CRUCES,MESONES,CENTRO,#N/A,CENTRO,CUAUHTEMOC,CENTRO,19.427922,-99.129471,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K
12,CALLE 3,EJE 1 PTE CALZ VALLEJO,PORVENIR,#N/A,LA RAZA,AZCAPOTZALCO,PONIENTE,19.469535,-99.14477,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
13,PUREPECHA,RIO DE LA LAJA,CHALMA DE GUADALUPE,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.548879,-99.159368,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
14,AV DEL CASTILLO,BAJADA DEL CERRITO,PALMATITLA,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.548495,-99.133984,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
15,AV AHUEHUETES,AHUEHUETES,TLALPEXCO,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.544997,-99.131155,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
16,ENRIQUE TORRES,LUIS YUREN,UH EL RISCO CTM,#N/A,QUIROGA,GUSTAVO A. MADERO,NORTE,19.50954,-99.096163,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
17,16 DE SEPTIEMBRE,21 DE MARZO,LOMA DE LA PALMA,#N/A,CUAUTEPEC,GUSTAVO A. MADERO,NORTE,19.550923,-99.142026,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
19,AV CUITLAHUAC,EJE 3 NTE CALZ CAMARONES,OBRERO POPULAR,#N/A,CUITLAHUAC,AZCAPOTZALCO,PONIENTE,19.46808,-99.176101,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
20,SICOMORO Y AV CENTRAL,CIRCUITO INTERIOR AV RIO CONSULADO,AMPLIACION DEL GAS,#N/A,CUITLAHUAC,AZCAPOTZALCO,PONIENTE,19.46433,-99.158489,CONTROL DE TRANSITO,N/A,N/A,20m,1,0,0,0,PTZ,CIUDAD SEGURA,,6.5K,8K
21,ABASOLO,LONDRES,DEL CARMEN,#N/A,COYOACAN,COYOACAN,SUR,19.355257,-99.161153,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K
22,EJE 2 OTE CALZ DE LA VIGA,AV JORGE ENCISO,HEROES DE CHURUBUSCO,#N/A,CHURUBUSCO,IZTAPALAPA,ORIENTE,19.359888,-99.122015,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
23,EJE 4 SUR XOLA,EJE 2 PTE GABRIEL MANCERA,DEL VALLE NORTE,#N/A,DEL VALLE,BENITO JUAREZ,SUR,19.396417,-99.161649,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
24,VIADUCTO TLALPAN,CALZ ARENAL,FRACC CLUB DE GOLF MEXICO,#N/A,HOSPITALES,TLALPAN,SUR,19.286406,-99.156945,CONTROL DE TRANSITO,N/A,N/A,20m,1,0,0,0,PTZ,CIUDAD SEGURA,,6.5K,8K
25,TRABAJO,LA FAMA,BARRIO LA FAMA,#N/A,FUENTE,TLALPAN,SUR,19.289396,-99.177819,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
26,SANTA URSULA,AV INSURGENTES SUR,TLALPAN,#N/A,FUENTE,TLALPAN,SUR,19.283931,-99.175479,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K
27,EJE 8 SUR CALZ ERMITA IZTAPALAPA,TOLTECAS,SANTA ISABEL INDUSTRIAL,#N/A,GRANJAS,IZTAPALAPA,ORIENTE,19.356168,-99.105786,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K
