ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN,ALCALDIA,SECTOR
3446,0,AV AZTECAS,AV ANTONIO DELFIN MADRIGAL,AJUSCO,#N/A,XOTEPINGO,COYOACAN,SUR,19.312339,-99.170421,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K,COYOACAN,UNIVERSIDAD
7769,0,AV DEL IMAN,RET DE LA ALBORADA,PEDREGAL DEL MAUREL,#N/A,XOTEPINGO,COYOACAN,SUR,19.31007,-99.17464,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ,CIUDAD SEGURA,,6.5K,8K,COYOACAN,UNIVERSIDAD
7770,0,AV DEL IMAN,RET CREPUSCULO,PEDREGAL DEL MAUREL,#N/A,XOTEPINGO,COYOACAN,SUR,19.309315,-99.176435,EDUCACION,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K,COYOACAN,UNIVERSIDAD
3441,0,AZTECAS,MONSERRAT,PUEBLO DE LOS REYES,#N/A,XOTEPINGO,COYOACAN,SUR,19.33192,-99.153009,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K,COYOACAN,COYOACAN
3271,0,"ENTRADA ""B"" AL ESTADIO AZTECA",CALZ DE TLALPAN,PUEBLO SANTA URSULA COAPA,#N/A,XOTEPINGO,COYOACAN,SUR,19.301721,-99.147708,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,6,1,1,2,PTZ FIJA - 4K,CIUDAD SEGURA,,3.6K,8K,COYOACAN,XOTEPINGO
3316,0,REY TEPALCATZIN,MIXTECAS,AJUSCO,#N/A,XOTEPINGO,COYOACAN,SUR,19.319547,-99.160721,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K,COYOACAN,XOTEPINGO
3319,0,SAN HERMILO,POPOCATEPETL (ENTRE SAN VALENTIN Y SAN FAUSTINO),PEDREGAL DE SANTA URSULA,#N/A,XOTEPINGO,COYOACAN,SUR,19.313091,-99.161072,EDUCACION,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K,COYOACAN,XOTEPINGO
3326,0,AND DE ZONA DE ESCUELA PANAMERICANA,AV LIBERTAD Y CDA COLONIAL,PEDREGAL DE CARRASCO,#N/A,XOTEPINGO,COYOACAN,SUR,19.3056,-99.168468,EDUCACION,CON BOTON,CON ALTAVOZ,9m,1,1,1,2,PTZ,CIUDAD SEGURA,,1.5K,8K,COYOACAN,XOTEPINGO
3327,0,AV PANAMERICANA,CIRCUITO PANAMERICANA,PEDREGAL DE CARRASCO,#N/A,XOTEPINGO,COYOACAN,SUR,19.308913,-99.171312,EQUIP. E INST. ESTRATEGICAS,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K,COYOACAN,XOTEPINGO
3339,0,MUSEO,MOCTEZUMA,SAN PABLO TEPETLAPA,#N/A,XOTEPINGO,COYOACAN,SUR,19.322466,-99.143833,INCIDENCIA DELICTIVA,CON BOTON,CON ALTAVOZ,9m,5,1,1,2,PTZ FIJA,CIUDAD SEGURA,,3.6K,8K,COYOACAN,XOTEPINGO
