ID_BCT_O,ID_ANPR,CALLE,ESQUINA / ENTRE CALLES,COLONIA,TRAMO,SECTOR_UPC,ALCALDÍA,C2,LATITUD,LONGITUD,CLASIFICACION,BOTON,ALTAVOZ,TIPO_POSTE,NUMCAMS,NUMBOT,NUMALT,CANT_ALTAVOZ,TIPO CAMARA,PROYECTO,FECHA_INSTALACIÓN,FASE2019,FASE_ORIGEN,PROYECTO_TECN
MC17117,0,,,VISTA ALEGRE,,ASTURIAS,CUAUHTÉMOC,CENTRO,19.4090613,-99.1348,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44943,,,TOTEM_METRO
MC17246,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.46189,-99.060605,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44944,,,TOTEM_METRO
MC17153,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.450708,-99.079974,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44944,,,TOTEM_METRO
MC17170,0,,,PENSADOR MEXICANO,,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.446049,-99.086583,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44944,,,TOTEM_METRO
MC17215,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.458441,-99.068681,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44944,,,TOTEM_METRO
MC17256,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.461491,-99.062176,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44945,,,TOTEM_METRO
MC17238,0,,,SAN JUAN DE ARAGON IV SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.457788,-99.069883,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44945,,,TOTEM_METRO
MC17174,0,,,AQUILES SERDAN,,MOCTEZUMA,VENUSTIANO CARRANZA,NORTE,19.44544,-99.087766,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44945,,,TOTEM_METRO
MC17013,0,,,SAN JUAN DE ARAGON III SECCION,,ARAGON,GUSTAVO A. MADERO,NORTE,19.451347,-99.078636,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44945,,,TOTEM_METRO
MC17128,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.485164,-99.049342,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44946,,,TOTEM_METRO
MC17137,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.490054,-99.047189,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44946,,,TOTEM_METRO
MC17077,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.473447,-99.054258,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44946,,,TOTEM_METRO
MC17143,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.502062,-99.041683,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44946,,,TOTEM_METRO
MC17116,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.486281,-99.048564,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44946,,,TOTEM_METRO
MC17729,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.528914,-99.029751,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44947,,,TOTEM_METRO
MC17732,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.52797,-99.030583,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44947,,,TOTEM_METRO
MC17735,0,,,FUERA_CDMX,,FUERA_CDMX,FUERA_CDMX,FUERA_CDMX,19.534983,-99.027083,,CON BOTON,N/A,TOTEM_FASE2,2,1,0,0,FIJA,TOTEM_FASE2,44947,,,TOTEM_METRO
